"id","parcel_apn","sthsnum","ststname","stsuffix","stcity","ststate","stzip"
119867831,"118 E15-0107","39B","CATOONAH","ST","RIDGEFIELD","CT","06877"
9155895,"118 E15-0107","39B","CATOONAH","ST","RIDGEFIELD","CT","06877"
208203096,"118 E14-0160","66","GROVE","ST","RIDGEFIELD","CT","06877"
119930656,"118 E14-0160","66","GROVE","ST","RIDGEFIELD","CT","06877"
9197632,"118 E14-0160","66","GROVE","ST","RIDGEFIELD","CT","06877"
119968193,"118 E14-0118","500","MAIN","ST","RIDGEFIELD","CT","06877"
9245159,"118 E14-0118","500","MAIN","ST","RIDGEFIELD","CT","06877"
207751904,"118 E16-0058","27R","WEST","LN","RIDGEFIELD","CT","06877"
119859253,"118 E16-0058","27R","WEST","LN","RIDGEFIELD","CT","06877"
9200870,"118 E16-0058","27R","WEST","LN","RIDGEFIELD","CT","06877"
207449836,"118 F18-0051","180","WILTON","RD","RIDGEFIELD","CT","06877"
119810926,"118 F18-0051","180","WILTON","RD","RIDGEFIELD","CT","06877"
5142665,"033 10 10 23-1","9","LEDGE","RD","CROMWELL","CT","06416"
103180070,"033 10 10 23-1","9","LEDGE","RD","CROMWELL","CT","06416"
5148754,"033 17 9 1-1","2A","ANTHONY","AVE","CROMWELL","CT","06416"
103180911,"033 17 9 1-1","2A","ANTHONY","AVE","CROMWELL","CT","06416"
203999045,"033 17 8 23","46","STONE HEDGE","RD","WESTBROOK","CT","06498"
5158070,"033 17 8 23","46","STONE HEDGE","RD","WESTBROOK","CT","06498"
103194345,"033 17 8 23","46","STONE HEDGE","RD","WESTBROOK","CT","06498"
204025753,"033 17 9 14","9R","VICKI","LN","CROMWELL","CT","06416"
5146532,"033 17 9 14","9R","VICKI","LN","CROMWELL","CT","06416"
103198477,"033 17 9 14","9R","VICKI","LN","CROMWELL","CT","06416"
103196785,"033 17 8 22","48","STONE HEDGE","RD","WESTBROOK","CT","06498"
103191182,"033 17 8 25","40","STONE HEDGE","RD","WESTBROOK","CT","06498"
103233930,"033 15 6 3B","37","WILLOWBROOK","RD","CROMWELL","CT","06416"
9106034,"118 F18-0051","180","WILTON","RD","RIDGEFIELD","CT","06877"
208537712,"091 14 1 38A (10A)","2A","ALPINE","RD","NEW FAIRFIELD","CT","06812"
119982121,"091 14 1 38A (10A)","2A","ALPINE","RD","NEW FAIRFIELD","CT","06812"
9267321,"091 14 1 38A (10A)","2A","ALPINE","RD","NEW FAIRFIELD","CT","06812"
208705772,"091 40 4 5-11","1A","BEACH","DR","NEW FAIRFIELD","CT","06812"
120008431,"091 40 4 5-11","1A","BEACH","DR","NEW FAIRFIELD","CT","06812"
9291073,"091 40 4 5-11","1A","BEACH","DR","NEW FAIRFIELD","CT","06812"
207705091,"018 A08276","30","LAKE SHORE","DR","BROOKFIELD","CT","06804"
119851679,"018 A08276","30","LAKE SHORE","DR","BROOKFIELD","CT","06804"
9146687,"018 A08276","30","LAKE SHORE","DR","BROOKFIELD","CT","06804"
207724481,"018 B08107","413A","CANDLEWOOD LAKE","RD","BROOKFIELD","CT","06804"
119854883,"018 B08107","413A","CANDLEWOOD LAKE","RD","BROOKFIELD","CT","06804"
9147949,"018 B08107","413A","CANDLEWOOD LAKE","RD","BROOKFIELD","CT","06804"
207794597,"018 C03002","1130A","FEDERAL","RD","BROOKFIELD","CT","06804"
119866128,"018 C03002","1130A","FEDERAL","RD","BROOKFIELD","CT","06804"
9163602,"018 C03002","1130A","FEDERAL","RD","BROOKFIELD","CT","06804"
207849829,"018 D04024","53A","OLD MIDDLE","RD","BROOKFIELD","CT","06804"
119874915,"018 D04024","53A","OLD MIDDLE","RD","BROOKFIELD","CT","06804"
9164902,"018 D04024","53A","OLD MIDDLE","RD","BROOKFIELD","CT","06804"
207903761,"018 C05001","993","FEDERAL","RD","BROOKFIELD","CT","06804"
119883328,"018 C05001","993","FEDERAL","RD","BROOKFIELD","CT","06804"
9175231,"018 C05001","993","FEDERAL","RD","BROOKFIELD","CT","06804"
5338660,"033 14 6 2","36","CLUBHOUSE","DR","CROMWELL","CT","06416"
103327728,"033 14 6 2","36","CLUBHOUSE","DR","CROMWELL","CT","06416"
204914673,"033 14 6 2","36","CLUBHOUSE","DR","CROMWELL","CT","06416"
204916661,"033 14 6 3","76","BERLIN","RD","CROMWELL","CT","06416"
5341334,"033 14 6 3","76","BERLIN","RD","CROMWELL","CT","06416"
103328010,"033 14 6 3","76","BERLIN","RD","CROMWELL","CT","06416"
204129575,"083 05-0032","15","FOREST GLEN","CIR","MIDDLETOWN","CT","06457"
5161541,"083 05-0032","15","FOREST GLEN","CIR","MIDDLETOWN","CT","06457"
103213748,"083 05-0032","15","FOREST GLEN","CIR","MIDDLETOWN","CT","06457"
103243242,"083 06-0415","40","BRAEBURN","LN","MIDDLETOWN","CT","06457"
205048038,"033 26 10 39","35","COMMERCE","DR","CROMWELL","CT","06416"
5354520,"033 26 10 39","35","COMMERCE","DR","CROMWELL","CT","06416"
103347549,"033 26 10 39","35","COMMERCE","DR","CROMWELL","CT","06416"
5352300,"033 25 11 21","196","COLES","RD","CROMWELL","CT","06416"
103342174,"033 25 11 21","196","COLES","RD","CROMWELL","CT","06416"
205140314,"033 48 15 28B","16A","SUNSET","DR","CROMWELL","CT","06416"
5383853,"033 48 15 28B","16A","SUNSET","DR","CROMWELL","CT","06416"
103361274,"033 48 15 28B","16A","SUNSET","DR","CROMWELL","CT","06416"
204061270,"033 34 18 19","60","COURT","ST","CROMWELL","CT","06416"
5178449,"033 34 18 19","60","COURT","ST","CROMWELL","CT","06416"
103203675,"033 34 18 19","60","COURT","ST","CROMWELL","CT","06416"
207986788,"018 D04070","15A","RICHARDS","RD","BROOKFIELD","CT","06804"
119896201,"018 D04070","15A","RICHARDS","RD","BROOKFIELD","CT","06804"
9187012,"018 D04070","15A","RICHARDS","RD","BROOKFIELD","CT","06804"
208029474,"018 E02010","34A","OLD BRIDGE","RD","BROOKFIELD","CT","06804"
119902929,"018 E02010","34A","OLD BRIDGE","RD","BROOKFIELD","CT","06804"
9192907,"018 E02010","34A","OLD BRIDGE","RD","BROOKFIELD","CT","06804"
119970456,"018 C06042","9A","GEREG GLENN","RD","BROOKFIELD","CT","06804"
9265620,"018 C06042","9A","GEREG GLENN","RD","BROOKFIELD","CT","06804"
208459051,"018 C05011","5A","QUARRY","RD","BROOKFIELD","CT","06804"
119969504,"018 C05011","5A","QUARRY","RD","BROOKFIELD","CT","06804"
9273040,"018 C05011","5A","QUARRY","RD","BROOKFIELD","CT","06804"
208485134,"018 C06020","126B","LAUREL HILL","RD","BROOKFIELD","CT","06804"
119973583,"018 C06020","126B","LAUREL HILL","RD","BROOKFIELD","CT","06804"
9278410,"018 C06020","126B","LAUREL HILL","RD","BROOKFIELD","CT","06804"
207097320,"018 D07065","76","LAUREL HILL","RD","BROOKFIELD","CT","06804"
119753354,"018 D07065","76","LAUREL HILL","RD","BROOKFIELD","CT","06804"
9058833,"018 D07065","76","LAUREL HILL","RD","BROOKFIELD","CT","06804"
207086002,"018 D08002","40","LAUREL HILL","RD","BROOKFIELD","CT","06804"
119751542,"018 D08002","40","LAUREL HILL","RD","BROOKFIELD","CT","06804"
9058678,"018 D08002","40","LAUREL HILL","RD","BROOKFIELD","CT","06804"
207278746,"018 D07097","825A","FEDERAL","RD","BROOKFIELD","CT","06804"
119782586,"018 D07097","825A","FEDERAL","RD","BROOKFIELD","CT","06804"
9095000,"018 D07097","825A","FEDERAL","RD","BROOKFIELD","CT","06804"
207340925,"018 D08020","777A","FEDERAL","RD","BROOKFIELD","CT","06804"
119792802,"018 D08020","777A","FEDERAL","RD","BROOKFIELD","CT","06804"
9115787,"018 D08020","777A","FEDERAL","RD","BROOKFIELD","CT","06804"
207372898,"018 D07001","256","WHISCONIER","RD","BROOKFIELD","CT","06804"
119798069,"018 D07001","256","WHISCONIER","RD","BROOKFIELD","CT","06804"
9121649,"018 D07001","256","WHISCONIER","RD","BROOKFIELD","CT","06804"
207372638,"018 E08096","264A","WHISCONIER","RD","BROOKFIELD","CT","06804"
119798019,"018 E08096","264A","WHISCONIER","RD","BROOKFIELD","CT","06804"
9115278,"018 E08096","264A","WHISCONIER","RD","BROOKFIELD","CT","06804"
208195983,"018 A09069","57A","KELLOGG","ST","BROOKFIELD","CT","06804"
119929482,"018 A09069","57A","KELLOGG","ST","BROOKFIELD","CT","06804"
9238006,"018 A09069","57A","KELLOGG","ST","BROOKFIELD","CT","06804"
207120539,"034 24 1 125  (17)","26A","WOODRIDGE","LN","NEW FAIRFIELD","CT","06812"
119756976,"034 24 1 125  (17)","26A","WOODRIDGE","LN","NEW FAIRFIELD","CT","06812"
9079804,"034 24 1 125  (17)","26A","WOODRIDGE","LN","NEW FAIRFIELD","CT","06812"
207038086,"018 B09022","3A","MIST HILL","DR","BROOKFIELD","CT","06804"
119743917,"018 B09022","3A","MIST HILL","DR","BROOKFIELD","CT","06804"
9039403,"018 B09022","3A","MIST HILL","DR","BROOKFIELD","CT","06804"
5258616,"033 23 11 2A","204","WOODLAND","DR","CROMWELL","CT","06416"
204334756,"033 23 11 2A","204","WOODLAND","DR","CROMWELL","CT","06416"
103243372,"033 23 11 2A","204","WOODLAND","DR","CROMWELL","CT","06416"
103253287,"033 15 12 20","284","HADDAM MOODUS","RD","EAST HADDAM","CT","06423"
5273742,"033 15 12 20","284","HADDAM MOODUS","RD","EAST HADDAM","CT","06423"
204407219,"033 15 12 20","284","HADDAM MOODUS","RD","EAST HADDAM","CT","06423"
103252924,"033 15 12 23","30","WILLOWBROOK","RD","CROMWELL","CT","06416"
5272421,"033 21 12 4A","173","SKYVIEW","DR","CROMWELL","CT","06416"
103252981,"033 21 12 4A","173","SKYVIEW","DR","CROMWELL","CT","06416"
204405265,"033 21 12 4A","173","SKYVIEW","DR","CROMWELL","CT","06416"
207420457,"018 C10007","6A","TWIN ROCKS","RD","BROOKFIELD","CT","06804"
119805703,"018 C10007","6A","TWIN ROCKS","RD","BROOKFIELD","CT","06804"
9151320,"018 C10007","6A","TWIN ROCKS","RD","BROOKFIELD","CT","06804"
207451280,"034 K020630000","1","EVERGREEN","RD","DANBURY","CT","06811"
119811172,"034 K020630000","1","EVERGREEN","RD","DANBURY","CT","06811"
9157145,"034 K020630000","1","EVERGREEN","RD","DANBURY","CT","06811"
207454541,"018 B11013","26A","OLD TURNPIKE","RD","BROOKFIELD","CT","06804"
119811751,"018 B11013","26A","OLD TURNPIKE","RD","BROOKFIELD","CT","06804"
9168795,"018 B11013","26A","OLD TURNPIKE","RD","BROOKFIELD","CT","06804"
207921552,"018 F09002","9A","LONG MEADOW HILL","RD","BROOKFIELD","CT","06804"
119885984,"018 F09002","9A","LONG MEADOW HILL","RD","BROOKFIELD","CT","06804"
9281808,"018 F09002","9A","LONG MEADOW HILL","RD","BROOKFIELD","CT","06804"
208066900,"018 E10012","1","COMSTOCK","TRL","BROOKFIELD","CT","06804"
119909060,"018 E10012","1","COMSTOCK","TRL","BROOKFIELD","CT","06804"
9298636,"018 E10012","1","COMSTOCK","TRL","BROOKFIELD","CT","06804"
208633296,"018 D13013","15","ROCKY","RD","BROOKFIELD","CT","06804"
119997187,"018 D13013","15","ROCKY","RD","BROOKFIELD","CT","06804"
9407754,"018 D13013","15","ROCKY","RD","BROOKFIELD","CT","06804"
206971977,"018 D12030","2A","HUCKLEBERRY HILL","RD","BROOKFIELD","CT","06804"
119733607,"018 D12030","2A","HUCKLEBERRY HILL","RD","BROOKFIELD","CT","06804"
9043682,"018 D12030","2A","HUCKLEBERRY HILL","RD","BROOKFIELD","CT","06804"
5518242,"033 21 12 4","1115","CROMWELL HILLS","DR","CROMWELL","CT","06416"
103358045,"033 21 12 4","1115","CROMWELL HILLS","DR","CROMWELL","CT","06416"
205117932,"033 21 12 4","1115","CROMWELL HILLS","DR","CROMWELL","CT","06416"
204449921,"033 33 16 38-1A","142","SALEM","DR","CROMWELL","CT","06416"
5283916,"033 33 16 38-1A","142","SALEM","DR","CROMWELL","CT","06416"
103259472,"033 33 16 38-1A","142","SALEM","DR","CROMWELL","CT","06416"
119767005,"018 F13064","6B","EVAS","DR","BROOKFIELD","CT","06804"
9063283,"018 F13064","6B","EVAS","DR","BROOKFIELD","CT","06804"
204497775,"033 32 16 38","12","WATCH HILL","CIR","CROMWELL","CT","06416"
5302455,"033 32 16 38","12","WATCH HILL","CIR","CROMWELL","CT","06416"
103266365,"033 32 16 38","12","WATCH HILL","CIR","CROMWELL","CT","06416"
204507274,"033 33 16 38-1","1","BLACKHAW","DR","CROMWELL","CT","06416"
5314238,"033 33 16 38-1","1","BLACKHAW","DR","CROMWELL","CT","06416"
103267812,"033 33 16 38-1","1","BLACKHAW","DR","CROMWELL","CT","06416"
204634687,"033 32 17 11","29","WASHINGTON","RD","CROMWELL","CT","06416"
5327726,"033 32 17 11","29","WASHINGTON","RD","CROMWELL","CT","06416"
103286529,"033 32 17 11","29","WASHINGTON","RD","CROMWELL","CT","06416"
103289211,"033 32 17 13","25","WASHINGTON","RD","CROMWELL","CT","06416"
204691669,"033 31 26 9","30","FRANKLIN","RD","CROMWELL","CT","06416"
5341097,"033 31 26 9","30","FRANKLIN","RD","CROMWELL","CT","06416"
103295367,"033 31 26 9","30","FRANKLIN","RD","CROMWELL","CT","06416"
204838448,"033 46 19 91","30","OAKWOOD","MNR","CROMWELL","CT","06416"
5373332,"033 46 19 91","30","OAKWOOD","MNR","CROMWELL","CT","06416"
103316511,"033 46 19 91","30","OAKWOOD","MNR","CROMWELL","CT","06416"
5433549,"033 45 25 58","2A","FAIRVIEW","HTS","CROMWELL","CT","06416"
103348270,"033 45 25 58","2A","FAIRVIEW","HTS","CROMWELL","CT","06416"
207225004,"018 D13085","304","FEDERAL","RD","BROOKFIELD","CT","06804"
119774025,"018 D13085","304","FEDERAL","RD","BROOKFIELD","CT","06804"
9075493,"018 D13085","304","FEDERAL","RD","BROOKFIELD","CT","06804"
207206326,"018 E13033","56A","DEL MAR","DR","BROOKFIELD","CT","06804"
119771056,"018 E13033","56A","DEL MAR","DR","BROOKFIELD","CT","06804"
9075216,"018 E13033","56A","DEL MAR","DR","BROOKFIELD","CT","06804"
207291102,"018 E14026","48","HOMESTEAD","LN","BROOKFIELD","CT","06804"
119784565,"018 E14026","48","HOMESTEAD","LN","BROOKFIELD","CT","06804"
9081821,"018 E14026","48","HOMESTEAD","LN","BROOKFIELD","CT","06804"
207332951,"018 E13020","115A","COMMERCE","DR","BROOKFIELD","CT","06804"
119791486,"018 E13020","115A","COMMERCE","DR","BROOKFIELD","CT","06804"
9105460,"018 E13020","115A","COMMERCE","DR","BROOKFIELD","CT","06804"
207623396,"018 G07021","58A","OBTUSE","RD","BROOKFIELD","CT","06804"
119839122,"018 G07021","58A","OBTUSE","RD","BROOKFIELD","CT","06804"
9199275,"018 G07021","58A","OBTUSE","RD","BROOKFIELD","CT","06804"
207814107,"018 G08049","28A","MERWIN BROOK","RD","BROOKFIELD","CT","06804"
119869234,"018 G08049","28A","MERWIN BROOK","RD","BROOKFIELD","CT","06804"
9221707,"018 G08049","28A","MERWIN BROOK","RD","BROOKFIELD","CT","06804"
9336643,"018 I08014","5","BIG BUCK","LN","BROOKFIELD","CT","06804"
208432919,"018 I09017","119","OBTUSE HILL","RD","BROOKFIELD","CT","06804"
119965338,"018 I09017","119","OBTUSE HILL","RD","BROOKFIELD","CT","06804"
9363871,"018 I09017","119","OBTUSE HILL","RD","BROOKFIELD","CT","06804"
208539330,"018 H10054","64B","LAKE GEORGE","RD","BROOKFIELD","CT","06804"
119982390,"018 H10054","64B","LAKE GEORGE","RD","BROOKFIELD","CT","06804"
9417729,"018 H10054","64B","LAKE GEORGE","RD","BROOKFIELD","CT","06804"
207207786,"018 F12073","108A","WHISCONIER","RD","BROOKFIELD","CT","06804"
119771257,"018 F12073","108A","WHISCONIER","RD","BROOKFIELD","CT","06804"
9065705,"018 F12073","108A","WHISCONIER","RD","BROOKFIELD","CT","06804"
5143055,"033 44 46 10B","6","WARNER","CT","CROMWELL","CT","06416"
103168881,"033 44 46 10B","6","WARNER","CT","CROMWELL","CT","06416"
203768717,"033 32 25 145","60R","EVERGREEN","RD","CROMWELL","CT","06416"
5132822,"033 32 25 145","60R","EVERGREEN","RD","CROMWELL","CT","06416"
103160590,"033 32 25 145","60R","EVERGREEN","RD","CROMWELL","CT","06416"
205119231,"033 60 51 077","676R","MAIN","ST","CROMWELL","CT","06416"
5369921,"033 60 51 077","676R","MAIN","ST","CROMWELL","CT","06416"
103358233,"033 60 51 077","676R","MAIN","ST","CROMWELL","CT","06416"
207216458,"018 F12078","13","SUNSET HILL","RD","BROOKFIELD","CT","06804"
119772631,"018 F12078","13","SUNSET HILL","RD","BROOKFIELD","CT","06804"
9068726,"018 F12078","13","SUNSET HILL","RD","BROOKFIELD","CT","06804"
207231148,"018 G12001","92A","WHISCONIER","RD","BROOKFIELD","CT","06804"
119775013,"018 G12001","92A","WHISCONIER","RD","BROOKFIELD","CT","06804"
9074410,"018 G12001","92A","WHISCONIER","RD","BROOKFIELD","CT","06804"
207351879,"018 G12041","1","MEADOW","DR","BROOKFIELD","CT","06804"
119794579,"018 G12041","1","MEADOW","DR","BROOKFIELD","CT","06804"
9091809,"018 G12041","1","MEADOW","DR","BROOKFIELD","CT","06804"
207482259,"018 G13076","60A","WHISCONIER","RD","BROOKFIELD","CT","06804"
119816396,"018 G13076","60A","WHISCONIER","RD","BROOKFIELD","CT","06804"
9105563,"018 G13076","60A","WHISCONIER","RD","BROOKFIELD","CT","06804"
207765693,"018 I12027","32","OBTUSE","RD","BROOKFIELD","CT","06804"
119861550,"018 I12027","32","OBTUSE","RD","BROOKFIELD","CT","06804"
9140496,"018 I12027","32","OBTUSE","RD","BROOKFIELD","CT","06804"
207070525,"034 G071000000","101","PEMBROKE","RD","DANBURY","CT","06811"
119748924,"034 G071000000","101","PEMBROKE","RD","DANBURY","CT","06811"
9057611,"034 G071000000","101","PEMBROKE","RD","DANBURY","CT","06811"
207038818,"034 H080660000","14","SHOREVIEW","LN","DANBURY","CT","06811"
119744042,"034 H080660000","14","SHOREVIEW","LN","DANBURY","CT","06811"
9060537,"034 H080660000","14","SHOREVIEW","LN","DANBURY","CT","06811"
204472407,"033 60 48 18","9","BELHAVEN","GRN","CROMWELL","CT","06416"
5274166,"033 60 48 18","9","BELHAVEN","GRN","CROMWELL","CT","06416"
103262654,"033 60 48 18","9","BELHAVEN","GRN","CROMWELL","CT","06416"
204778942,"033 67 48 4B","103R","FIELD","RD","CROMWELL","CT","06416"
5388569,"033 67 48 4B","103R","FIELD","RD","CROMWELL","CT","06416"
103308019,"033 67 48 4B","103R","FIELD","RD","CROMWELL","CT","06416"
204806838,"033 66 50 35","117R","FIELD","RD","CROMWELL","CT","06416"
5417484,"033 66 50 35","117R","FIELD","RD","CROMWELL","CT","06416"
103311945,"033 66 50 35","117R","FIELD","RD","CROMWELL","CT","06416"
204853035,"033 55 63 24","76R","NOOKS HILL","RD","CROMWELL","CT","06416"
5425358,"033 55 63 24","76R","NOOKS HILL","RD","CROMWELL","CT","06416"
103318698,"033 55 63 24","76R","NOOKS HILL","RD","CROMWELL","CT","06416"
204937997,"033 72 50 54-1","137R","NOOKS HILL","RD","CROMWELL","CT","06416"
5465533,"033 72 50 54-1","137R","NOOKS HILL","RD","CROMWELL","CT","06416"
103331256,"033 72 50 54-1","137R","NOOKS HILL","RD","CROMWELL","CT","06416"
204847609,"033 73 50 A48","1","RIVERSIDE","DR","CROMWELL","CT","06416"
5420882,"033 73 50 A48","1","RIVERSIDE","DR","CROMWELL","CT","06416"
103317854,"033 73 50 A48","1","RIVERSIDE","DR","CROMWELL","CT","06416"
5517891,"033 21 12 24D","19","LOCUST","CT","CROMWELL","CT","06416"
103357736,"033 21 12 24D","19","LOCUST","CT","CROMWELL","CT","06416"
205115810,"033 21 12 24D","19","LOCUST","CT","CROMWELL","CT","06416"
5518098,"033 21 12 24","32","PINE","CT","CROMWELL","CT","06416"
103357960,"033 21 12 24","32","PINE","CT","CROMWELL","CT","06416"
205117337,"033 21 12 24","32","PINE","CT","CROMWELL","CT","06416"
205176544,"033 20 47 8-1","32A","SHUNPIKE","RD","CROMWELL","CT","06416"
5520949,"033 20 47 8-1","32A","SHUNPIKE","RD","CROMWELL","CT","06416"
103366664,"033 20 47 8-1","32A","SHUNPIKE","RD","CROMWELL","CT","06416"
205229006,"033 31 27 14","2","EAGER","LN","CROMWELL","CT","06416"
5533272,"033 31 27 14","2","EAGER","LN","CROMWELL","CT","06416"
103374180,"033 31 27 14","2","EAGER","LN","CROMWELL","CT","06416"
205150207,"033 31 47 11","26","MYSTIQUE","LN","CROMWELL","CT","06416"
5528156,"033 31 47 11","26","MYSTIQUE","LN","CROMWELL","CT","06416"
103362798,"033 31 47 11","26","MYSTIQUE","LN","CROMWELL","CT","06416"
203787338,"033 43 26 50B","20R","STREET","TER","CROMWELL","CT","06416"
5122258,"033 43 26 50B","20R","STREET","TER","CROMWELL","CT","06416"
103163544,"033 43 26 50B","20R","STREET","TER","CROMWELL","CT","06416"
203863989,"033 31 31 1","1A","SMITH FARM","RD","CROMWELL","CT","06416"
5153533,"033 31 31 1","1A","SMITH FARM","RD","CROMWELL","CT","06416"
103175104,"033 31 31 1","1A","SMITH FARM","RD","CROMWELL","CT","06416"
204242225,"033 54 64 12","1","WIGHTMAN","PL","CROMWELL","CT","06416"
5221991,"033 54 64 12","1","WIGHTMAN","PL","CROMWELL","CT","06416"
103229802,"033 54 64 12","1","WIGHTMAN","PL","CROMWELL","CT","06416"
204446208,"033 41 36 29","36R","TIMBER HILL","RD","CROMWELL","CT","06416"
5278455,"033 41 36 29","36R","TIMBER HILL","RD","CROMWELL","CT","06416"
103258957,"033 41 36 29","36R","TIMBER HILL","RD","CROMWELL","CT","06416"
204528852,"033 41 42 17-1","6","DIANE","DR","CROMWELL","CT","06416"
5285658,"033 41 42 17-1","6","DIANE","DR","CROMWELL","CT","06416"
103270972,"033 41 42 17-1","6","DIANE","DR","CROMWELL","CT","06416"
204689185,"033 53 63 13","1","WALL","ST","CROMWELL","CT","06416"
5336265,"033 53 63 13","1","WALL","ST","CROMWELL","CT","06416"
103294990,"033 53 63 13","1","WALL","ST","CROMWELL","CT","06416"
208170876,"034 G090920000","2A","JEANETTE","ST","DANBURY","CT","06811"
